id,name,surname,club,categories
,Diana,BARANOWSKA,Bolesławiec/CKB Bolesławiec,Amator Kobiet 65 kg / Woman Amateur 65 kg
,Klaudia,BARTCZAK,Łódź/Dzik Komando,Amator Kobiet 65 kg / Woman Amateur 65 kg
,Agnieszka,BUTWICKA,Oława/Synergia Cross Camp,Amator Kobiet 65 kg / Woman Amateur 65 kg
,Sylwia,DOBIECH,Gliwice/Hellwood,Amator Kobiet 65 kg / Woman Amateur 65 kg
,Roksana,DYLEWSKA,Sosnowiec/Jaqobson squad,Amator Kobiet 65 kg / Woman Amateur 65 kg
,Agnieszka,DZIKOŃ,Warszawa/Hardstyle Warszawa,Amator Kobiet 65 kg / Woman Amateur 65 kg
,Zofia,FABCZAK,Warszawa/CKB Bemowo,Amator Kobiet 65 kg / Woman Amateur 65 kg
,Magdalena,GAPIŃSKA,Warszawa/Hardstyle Warszawa,Amator Kobiet 65 kg / Woman Amateur 65 kg
,Joanna,GARSZKO,Wrocław,Amator Kobiet 65 kg / Woman Amateur 65 kg
,Aleksandra,GEREGA,Milanówek/CKB Iron Family,Amator Kobiet 65 kg / Woman Amateur 65 kg
,Marta,JAGIELSKA,Łódź/Collegium krav maga,Amator Kobiet 65 kg / Woman Amateur 65 kg
,Urszula,JUCHNIEWICZ,Lidzbark Warmiński/Iron heart,Amator Kobiet 65 kg / Woman Amateur 65 kg
,Monika,KARCZEWSKA,Gdańsk/CKB Gdańsk,Amator Kobiet 65 kg / Woman Amateur 65 kg
,Anna,KŁOS,Kraśnik/CKB Kraśnik,Amator Kobiet 65 kg / Woman Amateur 65 kg
,Alicja,KOBREŃ,Gdańsk/CKB Gdańsk,Amator Kobiet 65 kg / Woman Amateur 65 kg
,Milena,KOCUREK,Sulechów,Amator Kobiet 65 kg / Woman Amateur 65 kg
,Paulina,KOWAL,Gdańsk/CKB Gdańsk,Amator Kobiet 65 kg / Woman Amateur 65 kg
,Joanna,KRUK,Warszawa,Amator Kobiet 65 kg / Woman Amateur 65 kg
,Sandra,KRYSZCZUNAS,Koszalin/Lumberjacks Cross Garage,Amator Kobiet 65 kg / Woman Amateur 65 kg
,Wiktoria,KULCZYCKA,Jelcz-Laskowice/Synergia Cross Camp,Amator Kobiet 65 kg / Woman Amateur 65 kg
,Katarzyna,LASKOWSKA-BEDNARCZYK,Sosnowiec/Teamsobala,"Amator Kobiet 65 kg / Woman Amateur 65 kg,Masters +45 Kobiet / Woman Masters +45"
,Izabela,MAĆKOWIAK,Nowa Ruda/Magic team,Amator Kobiet 65 kg / Woman Amateur 65 kg
,Jagoda,NACHMAN,Wrocław/Konkret team,Amator Kobiet 65 kg / Woman Amateur 65 kg
,Ewa,OGÓRKIEWICZ,Pleszew,Amator Kobiet 65 kg / Woman Amateur 65 kg
,Marysia,SOBCZYK,Wrocław/Body Change Center,Amator Kobiet 65 kg / Woman Amateur 65 kg
,Katarzyna,STUCZYK,Góra/Animal King,Amator Kobiet 65 kg / Woman Amateur 65 kg
,Anna,SZEWCZYK,Wrocław/Konkret team,Amator Kobiet 65 kg / Woman Amateur 65 kg
,Marta,ŚLIWIŃSKA,Wrocław/Konkret team,Amator Kobiet 65 kg / Woman Amateur 65 kg
,Lidia,TORZEWSKA,CKB Hall of madness Siemianowice Śląskie,"Amator Kobiet 65 kg / Woman Amateur 65 kg,Masters +45 Kobiet / Woman Masters +45"
,Justyna,TROJNIAR,Wrocław/Body Change Center,Amator Kobiet 65 kg / Woman Amateur 65 kg
,Maja,ZAWISZA,Wrocław,Amator Kobiet 65 kg / Woman Amateur 65 kg
,Marta,LACH,Góra/Animal King,Amator Kobiet 65 kg / Woman Amateur 65 kg
,Anna,BARTEL,Kęty/Dorian FC,Amator Kobiet +65 kg / Woman Amateur +65 kg
,Jadwiga,BOREK-MAŁAŃCZUK,Łódź/Trening jest celem,Amator Kobiet +65 kg / Woman Amateur +65 kg
,Anna,CERAN,Łódź/Fit Fabric,"Amator Kobiet +65 kg / Woman Amateur +65 kg,Masters +45 Kobiet / Woman Masters +45"
,Magdalena,KASZTALSKA-CZYŻYK,Łódź/Trening jest celem,Amator Kobiet +65 kg / Woman Amateur +65 kg
,Joanna,DYMERSKA,Poole/UK,Amator Kobiet +65 kg / Woman Amateur +65 kg
,Karolina,GAJDA,Nowa Ruda/Magic team,Amator Kobiet +65 kg / Woman Amateur +65 kg
,Magdalena,GŁUSZKO,Góra/Animal King,Amator Kobiet +65 kg / Woman Amateur +65 kg
,Barbara,HRYNYSZYN,Kołobrzeg/Training Tank,Amator Kobiet +65 kg / Woman Amateur +65 kg
,Paulina,KACZMAREK,Łódź/Collegium krav maga,Amator Kobiet +65 kg / Woman Amateur +65 kg
,Mariola,KĄDZIOŁKA-GAWEŁ,Przyszowice,Amator Kobiet +65 kg / Woman Amateur +65 kg
,Paulina,KLAMUT,Krosno/Iron crew,Amator Kobiet +65 kg / Woman Amateur +65 kg
,Julia,KLIMEK,Mińsk Mazowiecki/CKB Mińsk Mazowiecki,Amator Kobiet +65 kg / Woman Amateur +65 kg
,Anna,KŁODA-SAŁĘGA,Wieliczka/Teamsobala,Amator Kobiet +65 kg / Woman Amateur +65 kg
,Katarzyna,KOTYNIA,Łódź/Collegium krav maga,Amator Kobiet +65 kg / Woman Amateur +65 kg
,Aleksandra,KRUPA,Gryfice/Life4fit,Amator Kobiet +65 kg / Woman Amateur +65 kg
,Ewa,MALCZEWSKA,Sosnowiec,Amator Kobiet +65 kg / Woman Amateur +65 kg
,Maria,MAŃKO,Warszawa,Amator Kobiet +65 kg / Woman Amateur +65 kg
,Aleksandra,NIEZGODA,Krosno/Iron crew,Amator Kobiet +65 kg / Woman Amateur +65 kg
,Julita,NOWAK,Lubsko/Superhuman factory,Amator Kobiet +65 kg / Woman Amateur +65 kg
,Uliana,OCHMAN,Sosnowiec/Teamsobala,Amator Kobiet +65 kg / Woman Amateur +65 kg
,Barbara,PAJOR,Bochnia/Centrum Kettlebell Bochnia,Amator Kobiet +65 kg / Woman Amateur +65 kg
,Hanna,PALIAKOVA,Łódź/Dzik Komando,Amator Kobiet +65 kg / Woman Amateur +65 kg
,Tatevik,POZORSKA,Kołobrzeg/Centrum Kettlebell Kołobrzeg,Amator Kobiet +65 kg / Woman Amateur +65 kg
,Agnieszka,RDZANEK,Milanówek/CKB Iron Family,Amator Kobiet +65 kg / Woman Amateur +65 kg
,Gabriela,SODZAWICZNY,Wrocław/Body Change Center,Amator Kobiet +65 kg / Woman Amateur +65 kg
,Katarzyna,SATKOWSKA,Lublin,Amator Kobiet +65 kg / Woman Amateur +65 kg
,Gabriela,SKRAJDA,Lidzbark Warmiński/Iron heart,Amator Kobiet +65 kg / Woman Amateur +65 kg
,Aleksandra,STACHURA,Kęty/Dorian FC,Amator Kobiet +65 kg / Woman Amateur +65 kg
,Justyna,STALMACH,Tychy/Centrum Kettlebell Tychy,Amator Kobiet +65 kg / Woman Amateur +65 kg
,Aleksandra,SZPANBRUKER-KUŚMIERZ,Kraśnik/CKB Kraśnik,Amator Kobiet +65 kg / Woman Amateur +65 kg
,Martyna,SZROMEK,Tychy/Centrum Kettlebell Tychy,Amator Kobiet +65 kg / Woman Amateur +65 kg
,Katarzyna,SZUPIER-NIEŁACNA,Wrocław,Amator Kobiet +65 kg / Woman Amateur +65 kg
,Julia,URZENDOWSKA,Kołobrzeg/Centrum Kettlebell Kołobrzeg,Amator Kobiet +65 kg / Woman Amateur +65 kg
,Magdalena,WARAKOMSKA,Białystok/Akademia sprawności Kłodzko,Amator Kobiet +65 kg / Woman Amateur +65 kg
,Daria,WEJMAN,CKB Hall of madness Siemianowice Śląskie,Amator Kobiet +65 kg / Woman Amateur +65 kg
,Marta,ZÓRAWSKA,Łódź,Amator Kobiet +65 kg / Woman Amateur +65 kg
,Wioleta,MUSIAŁ,Kołobrzeg/Centrum Kettlebell Kołobrzeg,Amator Kobiet +65 kg / Woman Amateur +65 kg
,Zofia,CYRANOWSKA,Warszawa,Amator Kobiet +65 kg / Woman Amateur +65 kg
,Patrycja,HUT,Ząbkowice Śląskie/Teamsobala,"Amator Kobiet +65 kg / Woman Amateur +65 kg,Junior 16 Dziewcząt / Girls Junior 16"
,Martyna,MOCZKO,Ząbkowice Śląskie/Teamsobala,"Amator Kobiet +65 kg / Woman Amateur +65 kg,Junior 16 Dziewcząt / Girls Junior 16"
,Marta,PAWLIK,Ząbkowice Śląskie/Teamsobala,"Amator Kobiet +65 kg / Woman Amateur +65 kg,Junior 16 Dziewcząt / Girls Junior 16"
,Marcin,BISKUP,Wrocław/Body Change Center,Amator Mężczyzn +85 kg / Man Amateur +85 kg
,Przemysław,BOGUS,Łódź/Dzik Komando,Amator Mężczyzn +85 kg / Man Amateur +85 kg
,Paweł,BUCIAK,Bolesławiec,Amator Mężczyzn +85 kg / Man Amateur +85 kg
,Kacper,CZARNY,Kłodzko/Akademia Sprawności Kłodzko,Amator Mężczyzn +85 kg / Man Amateur +85 kg
